# Selection     : patch(inlet)
# Faces         : 174
# Area          : 2.91026981e-04
# Time          	sum(alphaPhi.gas)
0               	0.00000000e+00
0.00031112      	0.00000000e+00
0.00221879      	0.00000000e+00
0.00671578      	0.00000000e+00
0.0113443       	0.00000000e+00
0.0162316       	0.00000000e+00
0.0209911       	0.00000000e+00
0.025861        	0.00000000e+00
0.0308246       	0.00000000e+00
0.0359212       	0.00000000e+00
0.0410174       	0.00000000e+00
0.0445475       	0.00000000e+00
0.047304        	0.00000000e+00
0.0503906       	0.00000000e+00
0.0556068       	0.00000000e+00
0.0605582       	0.00000000e+00
0.0632689       	0.00000000e+00
0.0677595       	0.00000000e+00
0.0726137       	0.00000000e+00
0.0775041       	0.00000000e+00
0.0823167       	0.00000000e+00
0.087096        	0.00000000e+00
0.0880213       	0.00000000e+00
0.0905217       	0.00000000e+00
0.0940334       	0.00000000e+00
0.0984264       	0.00000000e+00
0.0993046       	0.00000000e+00
0.0998827       	0.00000000e+00
0.100014        	0.00000000e+00
